"filename", "language", "C#", "comment", "blank", "total"
"/workspaces/project1/Pokemongame/src/MyGame/Battle/Particpant/BattleParticipant.cs", "C#", 31, 0, 7, 38
"/workspaces/project1/Pokemongame/src/MyGame/Battle/Particpant/StatusTurnResult.cs", "C#", 11, 0, 0, 11
"/workspaces/project1/Pokemongame/src/MyGame/Battle/View/BattleView.cs", "C#", 79, 0, 19, 98
"/workspaces/project1/Pokemongame/src/MyGame/Input/Chance.cs", "C#", 18, 4, 3, 25
"/workspaces/project1/Pokemongame/src/MyGame/Input/InputManager.cs", "C#", 43, 1, 6, 50
"/workspaces/project1/Pokemongame/src/MyGame/Input/Log.cs", "C#", 9, 0, 0, 9
"/workspaces/project1/Pokemongame/src/MyGame/Items/ItemData.cs", "C#", 18, 0, 2, 20
"/workspaces/project1/Pokemongame/src/MyGame/Items/ItemDatabase.cs", "C#", 38, 0, 8, 46
"/workspaces/project1/Pokemongame/src/MyGame/Items/ItemEffect.cs", "C#", 74, 2, 13, 89
"/workspaces/project1/Pokemongame/src/MyGame/Moves/MoveData.cs", "C#", 14, 1, 2, 17
"/workspaces/project1/Pokemongame/src/MyGame/Moves/MoveDatabase.cs", "C#", 54, 1, 17, 72
"/workspaces/project1/Pokemongame/src/MyGame/Moves/MoveLearningService.cs", "C#", 32, 7, 7, 46
"/workspaces/project1/Pokemongame/src/MyGame/Moves/MoveLog.cs", "C#", 28, 1, 6, 35
"/workspaces/project1/Pokemongame/src/MyGame/Moves/MoveRuntime.cs", "C#", 32, 2, 8, 42
"/workspaces/project1/Pokemongame/src/MyGame/ObjectRuntime/Runtime/Trainers/IBattleTrainer.cs", "C#", 17, 0, 5, 22
"/workspaces/project1/Pokemongame/src/MyGame/ObjectRuntime/Runtime/Trainers/TrainerRuntime(Enemy).cs", "C#", 7, 1, 1, 9
"/workspaces/project1/Pokemongame/src/MyGame/ObjectRuntime/Runtime/Trainers/TrainerRuntime(Player).cs", "C#", 24, 0, 2, 26
"/workspaces/project1/Pokemongame/src/MyGame/ObjectRuntime/Runtime/Trainers/TrainerRuntime.cs", "C#", 79, 1, 21, 101
"/workspaces/project1/Pokemongame/src/MyGame/ObjectRuntime/Runtime/Wilds/WildRuntime.cs", "C#", 22, 0, 5, 27
"/workspaces/project1/Pokemongame/src/MyGame/PokemonTypes/PokemonChart.cs", "C#", 96, 11, 17, 124
"/workspaces/project1/Pokemongame/src/MyGame/PokemonTypes/PokemonType.cs", "C#", 15, 0, 0, 15
"/workspaces/project1/Pokemongame/src/MyGame/Pokemons/Data/PokemonData.cs", "C#", 24, 0, 4, 28
"/workspaces/project1/Pokemongame/src/MyGame/Pokemons/Data/PokemonDatabase.cs", "C#", 45, 0, 10, 55
